inspection_policy,case_id,best_strategy,best_profit,second_strategy,second_profit,gap_best_second,third_strategy,third_profit,gap_best_third,tie_count,all_best_strategies,note
no_retest_known_good,1,"(1,1,0,1)",18.111111111111107,"(1,0,0,0)",16.73251028806584,1.378600823045268,"(1,1,1,1)",15.444444444444443,2.6666666666666643,1,"(1,1,0,1)",
no_retest_known_good,2,"(1,1,0,1)",12.0,"(1,1,1,1)",9.75,2.25,"(1,1,0,0)",4.8125,7.1875,1,"(1,1,0,1)",
no_retest_known_good,3,"(1,1,0,1)",15.444444444444443,"(1,1,1,1)",15.444444444444443,0.0,"(1,0,1,0)",14.436213991769549,1.0082304526748942,2,"(1,1,0,1);(1,1,1,1)",check tie/small gap
no_retest_known_good,4,"(1,1,1,1)",14.75,"(1,1,0,1)",9.75,5.0,"(1,1,1,0)",8.499999999999993,6.250000000000007,1,"(1,1,1,1)",
no_retest_known_good,5,"(0,1,0,0)",11.987654320987659,"(0,1,1,0)",11.864197530864203,0.12345679012345556,"(1,1,0,1)",10.583333333333329,1.40432098765433,1,"(0,1,0,0)",check tie/small gap
no_retest_known_good,6,"(0,0,0,0)",21.6786703601108,"(1,0,0,0)",21.328765126111676,0.34990523399912377,"(0,0,1,0)",19.843125820090386,1.8355445400204147,1,"(0,0,0,0)",check tie/small gap
retest_known_good,1,"(1,1,0,1)",17.555555555555557,"(1,0,0,0)",16.73251028806584,0.823045267489718,"(0,0,0,0)",15.360768175582997,2.19478737997256,1,"(1,1,0,1)",
retest_known_good,2,"(1,1,0,1)",10.75,"(1,1,1,1)",8.5,2.25,"(1,1,0,0)",4.8125,5.9375,1,"(1,1,0,1)",
retest_known_good,3,"(1,1,0,1)",14.888888888888886,"(1,1,1,1)",14.888888888888886,0.0,"(1,0,1,0)",14.436213991769549,0.45267489711933706,2,"(1,1,0,1);(1,1,1,1)",check tie/small gap
retest_known_good,4,"(1,1,1,1)",14.25,"(1,1,0,1)",9.25,5.0,"(1,1,1,0)",8.499999999999993,5.750000000000007,1,"(1,1,1,1)",
retest_known_good,5,"(0,1,0,0)",11.987654320987659,"(0,1,1,0)",11.864197530864203,0.12345679012345556,"(0,0,1,0)",9.70370370370371,2.283950617283949,1,"(0,1,0,0)",check tie/small gap
retest_known_good,6,"(0,0,0,0)",21.6786703601108,"(1,0,0,0)",21.328765126111676,0.34990523399912377,"(0,0,1,0)",19.843125820090386,1.8355445400204147,1,"(0,0,0,0)",check tie/small gap
